#Datasets	 AA_0001_diamond_output_below	 AA_0003_diamond_output_below	 AA_0004_diamond_output_below	 AA_0006_diamond_output_below	 AA_0008_diamond_output_above	 AA_0009_diamond_output_above	 AA_0010_diamond_output_below	 AA_0012_diamond_output_above	 AA_0013_diamond_output_below	 AA_0014_diamond_output_below	 AA_0015_diamond_output_above	 AA_0016_diamond_output_below	 AA_0017_diamond_output_below	 AA_0018_diamond_output_below	 AA_0019_diamond_output_below	 AA_0021_diamond_output_above	 AA_0023_diamond_output_below	 AA_0025_diamond_output_above	 AA_0026_diamond_output_below	 AA_0027_diamond_output_above	 AA_0030_diamond_output_below	 AA_0032_diamond_output_above	 AA_0033_diamond_output_below	 AA_0034_diamond_output_below	 AA_0035_diamond_output_above	 AA_0036_diamond_output_below	 AA_0037_diamond_output_below	 AA_0038_diamond_output_below	 AA_0039_diamond_output_below	 AA_0040_diamond_output_below	 AA_0041_diamond_output_below	 AA_0042_diamond_output_below	 AA_0043_diamond_output_above	 AA_0044_diamond_output_below	 AA_0045_diamond_output_below	 AA_0046_diamond_output_below	 AA_0047_diamond_output_above	 AA_0048_diamond_output_above	 AA_0049_diamond_output_above	 AA_0050_diamond_output_below	 AA_0052_diamond_output_above	 AA_0053_diamond_output_above	 AA_0054_diamond_output_below	 AA_0055_diamond_output_below	 AA_0057_diamond_output_above	 AA_0058_diamond_output_below	 AA_0060_diamond_output_below	 AA_0061_diamond_output_above	 AA_0062_diamond_output_below	 AA_0065_diamond_output_below	 AA_0071_diamond_output_above	 AA_0080_diamond_output_above	 AA_0092_diamond_output_above	 AA_0093_diamond_output_below	 AA_0096_diamond_output_above	 AA_0097_diamond_output_above	 AA_0098_diamond_output_below	 AA_0099_diamond_output_above	 AA_0100_diamond_output_below	 AA_0102_diamond_output_below	 AA_0103_diamond_output_below	 AA_0104_diamond_output_above	 AA_0105_diamond_output_below	 AA_0106_diamond_output_above	 AA_0109_diamond_output_below	 AA_0111_diamond_output_below	 AA_0112_diamond_output_below	 AA_0113_diamond_output_below	 AA_0115_diamond_output_below	 AA_0116_diamond_output_above	 AA_0117_diamond_output_below	 AA_0118_diamond_output_above	 AA_0119_diamond_output_above	 AA_0120_diamond_output_below	 AA_0121_diamond_output_below	 AA_0123_diamond_output_below	 AA_0125_diamond_output_above	 AA_0126_diamond_output_below	 AA_0127_diamond_output_below	 AA_0128_diamond_output_below	 AA_0129_diamond_output_below	 AA_0130_diamond_output_below	 AA_0131_diamond_output_below	 AA_0132_diamond_output_below	 AA_0133_diamond_output_below	 AA_0134_diamond_output_above	 AA_0135_diamond_output_below	 AA_0136_diamond_output_below	 AA_0137_diamond_output_below	 AA_0138_diamond_output_above	 AA_0139_diamond_output_above	 AA_0141_diamond_output_below	 AA_0142_diamond_output_above	 AA_0143_diamond_output_below	 AA_0151_diamond_output_below	 AA_0152_diamond_output_above	 AA_0153_diamond_output_below
"Actinomycetia"	 1274	 2072	 3287	 5507	 4544	 943	 2302	 3275	 2929	 6068	 4195	 3258	 4446	 3966	 1049	 2910	 5213	 0	 0	 1723	 3625	 2926	 4753	 1756	 2365	 3952	 2921	 3976	 3442	 4300	 4817	 44	 2243	 2357	 2599	 1211	 2617	 4591	 3802	 4593	 3543	 3411	 3121	 512	 3796	 2422	 4702	 0	 3266	 2067	 1207	 2303	 3383	 4239	 3770	 1276	 3937	 4551	 1292	 3203	 3514	 4254	 3012	 3492	 2968	 2957	 520	 3452	 3739	 4160	 3190	 2252	 3187	 3170	 827	 2682	 3276	 3139	 4080	 2619	 1957	 1668	 4339	 2304	 995	 2733	 2239	 2364	 4153	 4942	 2273	 1914	 47	 1811	 2730	 3011	 95
"Coriobacteriia"	 511	 995	 1273	 4542	 3960	 2322	 1021	 3785	 2307	 1945	 3901	 2257	 2519	 4544	 2355	 4905	 3384	 1144	 1798	 2952	 5479	 2854	 3448	 1735	 1307	 3993	 1123	 3753	 2784	 3889	 2968	 2670	 2827	 2261	 3440	 2793	 2388	 3290	 3263	 4040	 1949	 5712	 3751	 3757	 0	 2248	 3428	 2181	 2258	 1461	 1360	 2690	 3880	 3723	 3856	 4426	 4576	 2934	 906	 2616	 5987	 2559	 3240	 4377	 2184	 2736	 4559	 3405	 1948	 3146	 2298	 2642	 1972	 2182	 1373	 3312	 2705	 1536	 1660	 2034	 2732	 2245	 5949	 4623	 1650	 2863	 2244	 2057	 4642	 1548	 5683	 1608	 2840	 809	 3245	 2478	 1650
"Bacteroidia"	 29374	 39294	 55517	 42629	 37344	 33961	 16474	 27992	 27513	 25763	 18864	 39762	 37972	 22745	 22739	 28813	 35843	 13306	 32859	 36486	 41460	 35970	 39974	 34089	 29757	 28349	 42774	 33883	 31287	 26602	 15430	 32332	 21135	 34107	 42499	 31465	 17030	 25951	 30911	 30362	 34439	 39028	 40393	 13004	 8199	 14487	 33173	 33256	 25361	 35492	 36911	 19959	 36299	 23868	 30414	 32468	 23659	 29660	 8807	 35049	 32511	 30608	 26657	 38488	 38234	 14286	 44899	 21691	 26083	 39686	 28757	 35908	 19221	 33191	 40588	 11932	 37943	 23994	 30355	 39132	 32180	 23439	 31710	 45646	 31279	 24421	 36929	 38864	 30073	 21960	 26172	 25054	 19353	 11562	 15027	 34830	 42390
"Vampirovibrionia"	 56	 65	 52	 0	 0	 72	 0	 0	 47	 0	 31	 0	 51	 0	 0	 0	 3336	 0	 35	 0	 0	 55	 0	 174	 0	 0	 39	 43	 0	 0	 0	 0	 0	 50	 0	 41	 0	 0	 0	 47	 0	 0	 0	 44	 0	 31	 0	 41	 0	 0	 43	 0	 0	 35	 60	 0	 0	 38	 0	 43	 0	 43	 33	 0	 59	 37	 518	 42	 0	 46	 0	 69	 62	 0	 0	 896	 63	 0	 0	 0	 0	 47	 56	 0	 51	 0	 42	 0	 44	 0	 0	 37	 27	 30	 3754	 37	 40
"Desulfovibrionia"	 788	 1747	 800	 1800	 423	 1592	 58	 456	 1667	 515	 2549	 3977	 1481	 868	 1396	 2272	 1091	 0	 0	 973	 3831	 662	 1515	 981	 1173	 1226	 909	 2304	 1627	 1349	 102	 1301	 1011	 1183	 749	 1272	 1476	 1475	 1349	 930	 980	 1391	 5076	 1503	 0	 110	 110	 2013	 1025	 1133	 1605	 1632	 4086	 22	 1197	 1681	 1481	 1681	 300	 1158	 1649	 1252	 1322	 2456	 1953	 1405	 954	 0	 124	 770	 1597	 210	 764	 338	 1154	 782	 1002	 1122	 579	 462	 162	 56	 1871	 1934	 1505	 1313	 1651	 1572	 1175	 0	 1562	 1200	 382	 186	 368	 1704	 2409
"Bacilli"	 811	 2632	 3252	 7207	 2504	 9763	 1995	 7734	 1790	 9256	 2108	 15085	 4053	 1342	 2757	 2260	 6380	 2306	 4065	 1360	 3233	 2687	 2741	 3143	 1982	 4586	 1356	 4291	 4546	 11575	 5758	 4224	 1630	 7032	 9127	 2422	 2107	 2717	 3588	 7220	 3317	 6120	 6082	 9444	 8974	 6209	 2119	 1053	 7139	 1509	 1424	 5042	 2571	 3650	 1547	 4443	 2247	 1589	 594	 3011	 5693	 2020	 2102	 3214	 2682	 10152	 6125	 3523	 4316	 2531	 2304	 2973	 3054	 8289	 2657	 8647	 3287	 3240	 2594	 2383	 1821	 2735	 3062	 3767	 1390	 6097	 3512	 3030	 6784	 4261	 9844	 4718	 2113	 226	 14350	 493	 1576
"Clostridia"	 29511	 57009	 91092	 90238	 90430	 93672	 38402	 88456	 61447	 60108	 57982	 54075	 68175	 34534	 52085	 69221	 105808	 47948	 45437	 51831	 104869	 73687	 66957	 87570	 64182	 40784	 57127	 48285	 95927	 50199	 52623	 52710	 67241	 85048	 59235	 47123	 41322	 60415	 77295	 63786	 77824	 80839	 71358	 78913	 47771	 33368	 69113	 64710	 45040	 69123	 54220	 60534	 74479	 31602	 61274	 65378	 62764	 51642	 20327	 70140	 78252	 56617	 56789	 57719	 90232	 42753	 89200	 82349	 80236	 71981	 45985	 73468	 71333	 81440	 62937	 69817	 79954	 76383	 64047	 69184	 60335	 52786	 71502	 76168	 72085	 65577	 67788	 63209	 75331	 80250	 120753	 43061	 51916	 28597	 88179	 59657	 71895
"Clostridia_A"	 22	 58	 2377	 3262	 2027	 461	 0	 1387	 588	 58	 44	 0	 64	 36	 0	 267	 5495	 0	 31	 32	 5300	 1444	 92	 2863	 0	 0	 42	 38	 1226	 0	 0	 0	 94	 126	 197	 0	 0	 0	 62	 39	 1331	 58	 5403	 870	 0	 0	 39	 183	 31	 45	 0	 0	 39	 0	 36	 0	 51	 0	 12	 41	 112	 0	 0	 380	 104	 158	 10492	 39	 50	 1249	 42	 0	 34	 656	 0	 691	 1140	 46	 182	 79	 38	 0	 98	 5448	 0	 0	 787	 141	 229	 1341	 884	 34	 28	 0	 5563	 255	 97
"Desulfitobacteriia"	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 33	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
"Peptococcia"	 0	 0	 123	 0	 0	 0	 0	 159	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 218	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 80	 0	 0	 0	 227	 0	 0	 0	 0	 0	 0
