#Datasets	 AA_0001_diamond_output_below	 AA_0003_diamond_output_below	 AA_0004_diamond_output_below	 AA_0006_diamond_output_below	 AA_0008_diamond_output_above	 AA_0009_diamond_output_above	 AA_0010_diamond_output_below	 AA_0012_diamond_output_above	 AA_0013_diamond_output_below	 AA_0014_diamond_output_below	 AA_0015_diamond_output_above	 AA_0016_diamond_output_below	 AA_0017_diamond_output_below	 AA_0018_diamond_output_below	 AA_0019_diamond_output_below	 AA_0021_diamond_output_above	 AA_0023_diamond_output_below	 AA_0025_diamond_output_above	 AA_0026_diamond_output_below	 AA_0027_diamond_output_above	 AA_0030_diamond_output_below	 AA_0032_diamond_output_above	 AA_0033_diamond_output_below	 AA_0034_diamond_output_below	 AA_0035_diamond_output_above	 AA_0036_diamond_output_below	 AA_0037_diamond_output_below	 AA_0038_diamond_output_below	 AA_0039_diamond_output_below	 AA_0040_diamond_output_below	 AA_0041_diamond_output_below	 AA_0042_diamond_output_below	 AA_0043_diamond_output_above	 AA_0044_diamond_output_below	 AA_0045_diamond_output_below	 AA_0046_diamond_output_below	 AA_0047_diamond_output_above	 AA_0048_diamond_output_above	 AA_0049_diamond_output_above	 AA_0050_diamond_output_below	 AA_0052_diamond_output_above	 AA_0053_diamond_output_above	 AA_0054_diamond_output_below	 AA_0055_diamond_output_below	 AA_0057_diamond_output_above	 AA_0058_diamond_output_below	 AA_0060_diamond_output_below	 AA_0061_diamond_output_above	 AA_0062_diamond_output_below	 AA_0065_diamond_output_below	 AA_0071_diamond_output_above	 AA_0080_diamond_output_above	 AA_0092_diamond_output_above	 AA_0093_diamond_output_below	 AA_0096_diamond_output_above	 AA_0097_diamond_output_above	 AA_0098_diamond_output_below	 AA_0099_diamond_output_above	 AA_0100_diamond_output_below	 AA_0102_diamond_output_below	 AA_0103_diamond_output_below	 AA_0104_diamond_output_above	 AA_0105_diamond_output_below	 AA_0106_diamond_output_above	 AA_0109_diamond_output_below	 AA_0111_diamond_output_below	 AA_0112_diamond_output_below	 AA_0113_diamond_output_below	 AA_0115_diamond_output_below	 AA_0116_diamond_output_above	 AA_0117_diamond_output_below	 AA_0118_diamond_output_above	 AA_0119_diamond_output_above	 AA_0120_diamond_output_below	 AA_0121_diamond_output_below	 AA_0123_diamond_output_below	 AA_0125_diamond_output_above	 AA_0126_diamond_output_below	 AA_0127_diamond_output_below	 AA_0128_diamond_output_below	 AA_0129_diamond_output_below	 AA_0130_diamond_output_below	 AA_0131_diamond_output_below	 AA_0132_diamond_output_below	 AA_0133_diamond_output_below	 AA_0134_diamond_output_above	 AA_0135_diamond_output_below	 AA_0136_diamond_output_below	 AA_0137_diamond_output_below	 AA_0138_diamond_output_above	 AA_0139_diamond_output_above	 AA_0141_diamond_output_below	 AA_0142_diamond_output_above	 AA_0143_diamond_output_below	 AA_0151_diamond_output_below	 AA_0152_diamond_output_above	 AA_0153_diamond_output_below
"Actinomycetaceae"	 0	 0	 0	 0	 0	 0	 0	 139	 0	 380	 0	 96	 0	 51	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 240	 0	 0	 0	 0	 44	 0	 0	 0	 100	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 46	 123	 0	 748	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 225	 0	 0	 0	 0	 0	 50	 0	 0	 0
"Bifidobacteriaceae"	 1273	 2065	 3267	 5479	 4532	 929	 2295	 3093	 2925	 4708	 4194	 3156	 4409	 3904	 1004	 2901	 5189	 0	 0	 1713	 3591	 2909	 4726	 1748	 2362	 3947	 2917	 3934	 3435	 4285	 4811	 0	 2236	 2333	 2590	 1210	 2605	 4584	 3768	 4336	 3499	 3386	 3103	 484	 3730	 2421	 4686	 0	 3147	 2063	 1190	 2291	 3357	 4219	 3760	 1261	 3913	 4546	 1290	 3199	 3505	 4250	 2952	 3363	 2958	 2085	 495	 3431	 3715	 4151	 3180	 2225	 3180	 3153	 823	 2629	 3267	 3121	 4039	 2615	 1954	 1661	 4315	 2263	 992	 2710	 2228	 2128	 4137	 4919	 2253	 1884	 0	 1754	 2675	 2983	 83
"Micrococcaceae"	 0	 0	 0	 0	 0	 0	 0	 0	 0	 943	 0	 0	 0	 0	 29	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 115	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
"Atopobiaceae"	 0	 0	 0	 1733	 2047	 0	 0	 755	 0	 0	 2115	 0	 0	 2356	 650	 49	 1291	 0	 0	 582	 649	 977	 909	 711	 0	 1889	 0	 733	 236	 909	 438	 0	 0	 0	 0	 0	 0	 0	 131	 41	 332	 2615	 83	 0	 0	 0	 1356	 0	 234	 42	 0	 0	 119	 0	 0	 0	 2242	 41	 361	 985	 1990	 0	 1831	 0	 0	 540	 0	 803	 306	 741	 0	 0	 0	 64	 0	 1146	 100	 0	 0	 89	 0	 0	 2040	 0	 537	 0	 0	 0	 791	 0	 1823	 632	 487	 57	 1761	 0	 0
"Coriobacteriaceae"	 445	 473	 919	 1024	 701	 624	 770	 1968	 631	 1270	 0	 466	 947	 1555	 693	 2274	 1047	 0	 620	 1885	 2384	 1353	 1243	 676	 551	 1290	 619	 1511	 1051	 2209	 1001	 634	 1479	 865	 1491	 1642	 576	 1473	 1830	 1875	 963	 2228	 1843	 0	 0	 0	 1027	 1430	 1649	 742	 0	 0	 1804	 2932	 2410	 1256	 1103	 1165	 512	 879	 1387	 689	 929	 652	 627	 1749	 876	 1655	 998	 1539	 1580	 0	 640	 1464	 1114	 1474	 953	 720	 343	 827	 1580	 850	 1638	 1668	 802	 777	 761	 649	 1793	 1152	 1069	 661	 2125	 736	 1055	 639	 923
"Eggerthellaceae"	 58	 516	 304	 673	 687	 1691	 251	 959	 1674	 656	 1765	 1783	 1568	 631	 1012	 2581	 1031	 1132	 1177	 485	 1427	 522	 1293	 339	 756	 812	 476	 1502	 1493	 770	 1529	 2031	 1336	 1368	 1939	 1146	 1812	 1812	 1302	 2124	 652	 867	 1678	 3739	 0	 2240	 1040	 745	 375	 677	 1355	 2682	 1928	 784	 1249	 3166	 1019	 1727	 25	 749	 2602	 1868	 479	 3719	 528	 446	 2449	 947	 644	 852	 706	 2597	 1332	 654	 258	 691	 1650	 796	 1306	 1118	 1146	 1393	 1205	 2905	 311	 2077	 1476	 1387	 2055	 362	 1085	 315	 227	 16	 406	 1830	 720
"QAMH01"	 0	 0	 0	 1112	 525	 0	 0	 103	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1018	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 146	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 181	 0	 212	 0	 0	 0	 0	 0	 0	 0	 1026	 0	 1226	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1065	 0	 0	 0	 0	 0	 0	 0	 1704	 0	 0	 0	 0	 0	 0
"Bacteroidaceae"	 20190	 26738	 40259	 24066	 20401	 18774	 14231	 17082	 23189	 18590	 12712	 25855	 21603	 14280	 17177	 17912	 17840	 11042	 22852	 25411	 23084	 21623	 23518	 17111	 17185	 14827	 29276	 22425	 19294	 18026	 13058	 26222	 17541	 22001	 24849	 21102	 14620	 17977	 18985	 18510	 15581	 23203	 20603	 10448	 6345	 11882	 23755	 21247	 17604	 20905	 25427	 14662	 22190	 19453	 18080	 21331	 18952	 18921	 6210	 21943	 21340	 22198	 15392	 22132	 23738	 11601	 25409	 15863	 18730	 23694	 19044	 24696	 14771	 21201	 29078	 10051	 20705	 14634	 20585	 25722	 20753	 19299	 20636	 21832	 19293	 18032	 20919	 20463	 21450	 17284	 15333	 18542	 13149	 9972	 7809	 20464	 24116
"Barnesiellaceae"	 26	 0	 859	 0	 1107	 795	 564	 48	 0	 0	 0	 1632	 0	 922	 0	 0	 0	 0	 241	 0	 201	 984	 0	 1991	 976	 0	 0	 1933	 386	 0	 0	 0	 0	 71	 1608	 928	 0	 0	 1879	 0	 1693	 965	 979	 0	 0	 0	 0	 1540	 0	 225	 1007	 0	 1083	 0	 959	 0	 0	 993	 0	 1364	 0	 0	 1170	 0	 0	 0	 723	 0	 1025	 0	 0	 0	 0	 1488	 0	 0	 1486	 68	 0	 988	 0	 0	 0	 0	 0	 0	 987	 0	 246	 527	 99	 0	 0	 0	 932	 1002	 1446
"Coprobacteraceae"	 89	 592	 456	 0	 0	 199	 0	 715	 0	 0	 0	 0	 0	 47	 0	 800	 65	 0	 0	 0	 143	 0	 1040	 0	 0	 0	 0	 171	 0	 0	 0	 0	 0	 653	 0	 0	 0	 0	 697	 1084	 395	 855	 0	 0	 0	 0	 0	 140	 0	 0	 0	 0	 209	 20	 896	 1050	 0	 317	 0	 0	 0	 0	 306	 350	 971	 0	 1073	 0	 0	 147	 0	 1065	 37	 0	 939	 0	 939	 0	 0	 0	 0	 0	 0	 383	 887	 794	 848	 1336	 0	 0	 0	 0	 0	 1342	 0	 0	 816
"Marinifilaceae"	 2686	 3180	 2786	 6167	 2220	 3658	 173	 2854	 0	 1198	 0	 4259	 5854	 676	 854	 2435	 3311	 0	 2860	 3423	 3879	 4048	 7262	 6315	 3673	 2938	 4089	 3135	 2835	 4239	 0	 1010	 119	 1967	 4944	 2185	 0	 2673	 2551	 3503	 4028	 1779	 4111	 0	 0	 0	 0	 3780	 2611	 3576	 2154	 0	 2645	 54	 2478	 3435	 1002	 785	 324	 2825	 2174	 3932	 3018	 1910	 3955	 535	 2598	 0	 1815	 3731	 3167	 4129	 0	 2682	 2944	 422	 3331	 1779	 0	 3447	 3858	 2412	 920	 4892	 3107	 412	 2482	 4487	 907	 40	 2547	 0	 400	 15	 1370	 2269	 4468
"Muribaculaceae"	 138	 201	 69	 1368	 0	 0	 0	 849	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 978	 0	 0	 287	 0	 0	 0	 0	 0	 0	 0	 0	 971	 0	 0	 830	 0	 0	 0	 0	 0	 0	 78	 66	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 59	 1511	 879	 0	 0	 0	 0	 0	 0	 0	 199	 0	 0	 0	 0	 0	 0	 939	 939	 0	 0	 0	 0	 0	 0	 0	 0	 897	 0	 95	 1194	 0
