#Datasets	 AA_0001_diamond_output_below	 AA_0003_diamond_output_below	 AA_0004_diamond_output_below	 AA_0006_diamond_output_below	 AA_0008_diamond_output_above	 AA_0009_diamond_output_above	 AA_0010_diamond_output_below	 AA_0012_diamond_output_above	 AA_0013_diamond_output_below	 AA_0014_diamond_output_below	 AA_0015_diamond_output_above	 AA_0016_diamond_output_below	 AA_0017_diamond_output_below	 AA_0018_diamond_output_below	 AA_0019_diamond_output_below	 AA_0021_diamond_output_above	 AA_0023_diamond_output_below	 AA_0025_diamond_output_above	 AA_0026_diamond_output_below	 AA_0027_diamond_output_above	 AA_0030_diamond_output_below	 AA_0032_diamond_output_above	 AA_0033_diamond_output_below	 AA_0034_diamond_output_below	 AA_0035_diamond_output_above	 AA_0036_diamond_output_below	 AA_0037_diamond_output_below	 AA_0038_diamond_output_below	 AA_0039_diamond_output_below	 AA_0040_diamond_output_below	 AA_0041_diamond_output_below	 AA_0042_diamond_output_below	 AA_0043_diamond_output_above	 AA_0044_diamond_output_below	 AA_0045_diamond_output_below	 AA_0046_diamond_output_below	 AA_0047_diamond_output_above	 AA_0048_diamond_output_above	 AA_0049_diamond_output_above	 AA_0050_diamond_output_below	 AA_0052_diamond_output_above	 AA_0053_diamond_output_above	 AA_0054_diamond_output_below	 AA_0055_diamond_output_below	 AA_0057_diamond_output_above	 AA_0058_diamond_output_below	 AA_0060_diamond_output_below	 AA_0061_diamond_output_above	 AA_0062_diamond_output_below	 AA_0065_diamond_output_below	 AA_0071_diamond_output_above	 AA_0080_diamond_output_above	 AA_0092_diamond_output_above	 AA_0093_diamond_output_below	 AA_0096_diamond_output_above	 AA_0097_diamond_output_above	 AA_0098_diamond_output_below	 AA_0099_diamond_output_above	 AA_0100_diamond_output_below	 AA_0102_diamond_output_below	 AA_0103_diamond_output_below	 AA_0104_diamond_output_above	 AA_0105_diamond_output_below	 AA_0106_diamond_output_above	 AA_0109_diamond_output_below	 AA_0111_diamond_output_below	 AA_0112_diamond_output_below	 AA_0113_diamond_output_below	 AA_0115_diamond_output_below	 AA_0116_diamond_output_above	 AA_0117_diamond_output_below	 AA_0118_diamond_output_above	 AA_0119_diamond_output_above	 AA_0120_diamond_output_below	 AA_0121_diamond_output_below	 AA_0123_diamond_output_below	 AA_0125_diamond_output_above	 AA_0126_diamond_output_below	 AA_0127_diamond_output_below	 AA_0128_diamond_output_below	 AA_0129_diamond_output_below	 AA_0130_diamond_output_below	 AA_0131_diamond_output_below	 AA_0132_diamond_output_below	 AA_0133_diamond_output_below	 AA_0134_diamond_output_above	 AA_0135_diamond_output_below	 AA_0136_diamond_output_below	 AA_0137_diamond_output_below	 AA_0138_diamond_output_above	 AA_0139_diamond_output_above	 AA_0141_diamond_output_below	 AA_0142_diamond_output_above	 AA_0143_diamond_output_below	 AA_0151_diamond_output_below	 AA_0152_diamond_output_above	 AA_0153_diamond_output_below
"Actinomycetales"	 1274	 2070	 3277	 5497	 4535	 937	 2300	 3253	 2927	 6032	 4194	 3252	 4438	 3961	 1046	 2903	 5199	 0	 0	 1721	 3607	 2910	 4730	 1754	 2363	 3948	 2919	 3971	 3439	 4293	 4816	 26	 2243	 2352	 2594	 1210	 2617	 4588	 3795	 4582	 3530	 3406	 3115	 507	 3788	 2422	 4689	 0	 3255	 2066	 1194	 2300	 3374	 4236	 3770	 1273	 3936	 4549	 1292	 3202	 3513	 4254	 2999	 3488	 2968	 2949	 509	 3451	 3737	 4157	 3187	 2244	 3187	 3162	 826	 2677	 3273	 3138	 4062	 2617	 1954	 1667	 4331	 2298	 993	 2728	 2230	 2358	 4145	 4940	 2261	 1896	 29	 1807	 2704	 2994	 90
"Coriobacteriales"	 511	 995	 1272	 4542	 3960	 2322	 1021	 3785	 2307	 1945	 3899	 2257	 2518	 4544	 2355	 4905	 3384	 1144	 1798	 2952	 5479	 2854	 3448	 1735	 1307	 3993	 1122	 3752	 2784	 3888	 2968	 2670	 2827	 2261	 3440	 2793	 2388	 3290	 3263	 4040	 1949	 5711	 3751	 3757	 0	 2248	 3428	 2181	 2258	 1461	 1360	 2690	 3880	 3723	 3856	 4426	 4576	 2934	 906	 2616	 5987	 2559	 3240	 4377	 2184	 2736	 4559	 3405	 1948	 3146	 2297	 2642	 1972	 2182	 1373	 3312	 2705	 1536	 1660	 2034	 2731	 2244	 5949	 4623	 1650	 2863	 2244	 2057	 4642	 1548	 5683	 1608	 2840	 809	 3241	 2477	 1650
"Bacteroidales"	 29366	 39285	 55462	 42604	 36956	 33953	 16472	 27983	 27205	 25753	 18860	 39755	 37965	 22735	 22731	 28787	 35754	 13304	 32846	 36477	 40643	 35956	 39954	 34076	 29754	 28345	 42758	 33877	 31269	 26596	 15429	 32327	 21123	 34095	 42491	 31454	 17024	 25948	 30901	 30353	 34426	 39005	 39272	 12993	 8197	 14484	 33170	 33248	 25355	 35486	 36900	 19958	 36295	 23868	 30406	 32453	 23650	 29654	 8807	 35038	 32507	 30604	 26649	 38012	 38227	 14275	 44842	 21686	 26076	 39679	 28726	 35896	 19213	 33190	 40580	 11927	 37930	 23985	 30347	 39125	 32168	 23438	 31701	 45537	 31261	 24417	 36910	 38852	 30066	 21959	 26162	 25035	 19340	 11556	 14999	 34805	 42374
"Flavobacteriales"	 0	 0	 0	 0	 385	 0	 0	 0	 305	 0	 0	 0	 0	 0	 0	 0	 77	 0	 0	 0	 805	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1099	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 467	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 100	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
"Gastranaerophilales"	 56	 65	 52	 0	 0	 72	 0	 0	 47	 0	 31	 0	 51	 0	 0	 0	 3336	 0	 35	 0	 0	 55	 0	 174	 0	 0	 39	 43	 0	 0	 0	 0	 0	 50	 0	 41	 0	 0	 0	 47	 0	 0	 0	 44	 0	 31	 0	 41	 0	 0	 43	 0	 0	 35	 60	 0	 0	 38	 0	 43	 0	 43	 33	 0	 59	 37	 518	 42	 0	 46	 0	 69	 62	 0	 0	 896	 63	 0	 0	 0	 0	 47	 56	 0	 51	 0	 42	 0	 44	 0	 0	 37	 27	 30	 3753	 37	 40
"Desulfovibrionales"	 788	 1747	 800	 1800	 423	 1592	 58	 456	 1667	 515	 2549	 3977	 1481	 868	 1396	 2272	 1091	 0	 0	 973	 3831	 662	 1515	 981	 1173	 1226	 909	 2304	 1627	 1349	 102	 1301	 1011	 1183	 749	 1272	 1476	 1475	 1349	 930	 980	 1391	 5076	 1503	 0	 110	 110	 2013	 1025	 1133	 1605	 1632	 4086	 22	 1197	 1681	 1481	 1681	 300	 1158	 1649	 1252	 1322	 2456	 1953	 1405	 954	 0	 124	 770	 1597	 210	 764	 338	 1154	 782	 1002	 1122	 579	 462	 162	 56	 1871	 1934	 1505	 1313	 1651	 1572	 1175	 0	 1562	 1200	 382	 186	 368	 1704	 2409
"Acholeplasmatales"	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 168	 0	 0
"Erysipelotrichales"	 726	 2065	 2846	 1198	 938	 4884	 55	 2030	 1584	 2280	 1837	 7504	 3384	 187	 640	 1604	 1769	 2124	 3975	 242	 2468	 1111	 1884	 357	 1825	 2139	 1202	 787	 3322	 1286	 3654	 2039	 1400	 4128	 2903	 975	 1977	 2029	 1638	 1119	 1102	 5230	 4442	 8724	 2609	 4758	 1684	 993	 286	 1287	 892	 3864	 190	 1664	 1501	 3795	 2018	 554	 191	 1838	 4626	 1740	 382	 1895	 2435	 997	 2147	 2725	 2721	 1564	 1507	 1425	 2273	 2113	 1889	 1402	 1247	 1772	 1761	 1344	 417	 2202	 2069	 1759	 973	 4076	 2518	 258	 2064	 2040	 3219	 2232	 1475	 38	 1218	 409	 1387
"Haloplasmatales"	 0	 0	 0	 0	 0	 0	 1287	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1143	 0	 0	 0	 0	 0	 0	 0	 0	 0	 504	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 307	 0	 0	 0	 82	 0	 753	 0	 0	 0	 0	 686	 0	 0	 0	 0	 0	 0	 155	 0	 0	 0	 1887	 0	 0	 0	 0	 0	 0	 0
"Lactobacillales"	 67	 542	 69	 3619	 1455	 3906	 633	 4143	 158	 6898	 250	 7529	 641	 1116	 2096	 626	 2662	 161	 66	 1098	 487	 87	 819	 1038	 138	 2427	 137	 3489	 1049	 10260	 2085	 2170	 181	 739	 5030	 1435	 116	 669	 1911	 5669	 1670	 803	 1015	 637	 5814	 1435	 407	 0	 6832	 113	 523	 1132	 2300	 1974	 0	 625	 204	 1012	 400	 1152	 1012	 257	 1639	 1278	 195	 9105	 135	 353	 1556	 878	 764	 1429	 767	 5368	 739	 5369	 141	 1429	 133	 1021	 1384	 522	 952	 678	 62	 1834	 913	 2716	 3402	 298	 2894	 2440	 579	 173	 1265	 36	 129
"ML615J-28"	 0	 0	 0	 601	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 161	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 282	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1325	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 149	 0	 0	 0	 295	 0	 0
"Paenibacillales"	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 65	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 81	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
"RF39"	 0	 0	 226	 1695	 50	 874	 0	 1488	 0	 0	 0	 0	 0	 0	 0	 0	 1651	 0	 0	 0	 131	 1471	 0	 1701	 0	 0	 0	 0	 0	 0	 0	 0	 0	 65	 0	 0	 0	 0	 0	 390	 513	 0	 546	 0	 0	 0	 0	 0	 0	 0	 0	 28	 54	 0	 0	 0	 0	 0	 0	 0	 0	 0	 50	 0	 0	 0	 1743	 89	 0	 49	 0	 0	 0	 0	 0	 1401	 532	 0	 0	 0	 0	 0	 0	 1274	 348	 0	 0	 0	 1275	 0	 3428	 0	 26	 0	 9182	 0	 0
"RFN20"	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 88	 0	 0	 0	 0	 2062	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 43	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1648	 0	 0	 0	 0	 0	 0	 0	 0	 420	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2094	 0	 0
"Staphylococcales"	 0	 0	 0	 0	 0	 0	 0	 0	 0	 54	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
"Acetivibrionales"	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 64	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
"Clostridiales"	 0	 0	 91	 0	 2221	 155	 4979	 242	 0	 0	 0	 0	 0	 0	 0	 80	 71	 0	 0	 0	 91	 0	 0	 0	 0	 0	 0	 0	 281	 220	 0	 2559	 0	 0	 2086	 0	 0	 261	 63	 0	 0	 0	 49	 261	 4732	 0	 0	 0	 0	 0	 0	 58	 0	 0	 0	 0	 0	 0	 263	 0	 240	 170	 46	 0	 95	 0	 160	 2718	 350	 0	 0	 89	 0	 3816	 0	 0	 0	 0	 133	 0	 0	 0	 0	 0	 0	 0	 39	 0	 0	 3102	 74	 0	 0	 0	 79	 0	 53
"Eubacteriales"	 0	 0	 0	 0	 0	 0	 0	 0	 240	 0	 0	 389	 0	 0	 154	 0	 0	 0	 2191	 0	 0	 0	 948	 0	 0	 29	 0	 2296	 0	 1175	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 48	 0	 2741	 123	 0	 0	 0	 0	 0	 0	 0	 99	 0	 0	 0	 0	 1025	 0	 0	 0	 0	 0	 913	 38	 0	 0	 160	 0	 0	 0	 2478	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 66	 0	 2339	 97	 1444	 0	 0	 296	 493	 0	 0	 0	 0	 0
"Lachnospirales"	 18373	 39026	 63169	 51341	 59384	 62058	 26859	 57695	 36300	 38683	 40642	 38360	 48597	 21308	 42505	 45488	 48509	 39462	 30399	 37663	 50001	 52918	 41535	 54921	 50518	 29062	 43866	 31942	 66974	 33949	 43959	 42854	 48284	 55378	 36885	 37496	 33164	 43374	 53579	 44882	 53354	 59074	 44916	 53833	 38674	 31192	 52029	 44915	 34231	 49124	 43671	 48282	 53571	 30526	 40832	 46080	 44509	 38645	 14939	 48430	 54836	 46332	 36385	 44785	 61355	 25849	 45327	 60593	 53990	 46624	 33757	 48223	 55606	 59799	 51902	 48021	 49593	 55971	 42517	 46221	 42283	 44501	 42197	 41418	 51533	 51436	 45748	 36626	 47179	 60436	 71825	 26581	 36537	 22407	 45849	 39023	 45520
