#Datasets	 AA_0001	 AA_0003	 AA_0004	 AA_0006	 AA_0008	 AA_0009	 AA_0010	 AA_0012	 AA_0013	 AA_0014	 AA_0015	 AA_0016	 AA_0017	 AA_0018	 AA_0019	 AA_0021	 AA_0023	 AA_0025	 AA_0026	 AA_0027	 AA_0030	 AA_0032	 AA_0033	 AA_0034	 AA_0035	 AA_0036	 AA_0037	 AA_0038	 AA_0039	 AA_0040	 AA_0041	 AA_0042	 AA_0043	 AA_0044	 AA_0045	 AA_0046	 AA_0047	 AA_0048	 AA_0049	 AA_0050	 AA_0052	 AA_0053	 AA_0054	 AA_0055	 AA_0057	 AA_0058	 AA_0060	 AA_0061	 AA_0062	 AA_0065	 AA_0071	 AA_0080	 AA_0092	 AA_0093	 AA_0096	 AA_0097	 AA_0098	 AA_0099	 AA_0100	 AA_0102	 AA_0103	 AA_0104	 AA_0105	 AA_0106	 AA_0109	 AA_0111	 AA_0112	 AA_0113	 AA_0115	 AA_0116	 AA_0117	 AA_0118	 AA_0119	 AA_0120	 AA_0121	 AA_0123	 AA_0125	 AA_0126	 AA_0127	 AA_0128	 AA_0129	 AA_0130	 AA_0131	 AA_0132	 AA_0133	 AA_0134	 AA_0135	 AA_0136	 AA_0137	 AA_0138	 AA_0139	 AA_0141	 AA_0142	 AA_0143	 AA_0151	 AA_0152	 AA_0153
"Actinomycetia"	1.882694	1.809812	1.90383	3.273281	3.038916	0.622512	3.305524	2.358949	2.837986	5.348565	4.217564	2.572322	3.58722	5.191371	1.037033	2.494364	2.923658	0	0	1.670836	2.01502	2.37834	3.551335	1.236986	2.100038	4.251931	2.581575	3.84727	2.250865	3.764731	5.418753	0.043808	2.266824	1.742428	2.098523	1.266485	3.480933	4.174699	2.905262	3.713676	2.685149	2.290615	2.098913	0.430487	4.496991	3.604381	3.866935	0	3.417605	1.735589	1.196388	2.381371	2.546922	5.339329	3.445471	1.123417	3.648208	4.312109	3.635647	2.596739	2.53486	4.022391	3.015589	2.963466	2.098387	3.465573	0.31014	2.911532	3.066992	3.005238	3.471164	1.809271	2.951445	2.2552	0.685846	2.503407	2.468857	2.645329	3.772329	2.150087	1.829023	1.902285	3.30724	1.53842	0.841025	2.446645	1.856212	2.024024	3.235255	4.134181	1.303199	2.241297	0.057298	3.862478	1.905733	2.66274	0.074786
"Coriobacteriia"	0.755146	0.869094	0.737321	2.699699	2.648351	1.532845	1.46609	2.726297	2.235313	1.714396	3.921983	1.781992	2.032435	5.947956	2.328133	4.204418	1.897882	1.625115	2.00941	2.862629	3.045598	2.319816	2.576268	1.222193	1.160571	4.296043	0.992505	3.63149	1.820572	3.404892	3.33877	2.658356	2.857027	1.67146	2.777576	2.920968	3.176334	2.991671	2.49339	3.266547	1.477097	3.835823	2.522596	3.158868	0	3.345437	2.819195	2.016867	2.362814	1.226752	1.348043	2.78154	2.921093	4.689389	3.524068	3.896744	4.240335	2.779989	2.549455	2.120846	4.318783	2.419675	3.24386	3.714516	1.544096	3.206563	2.719096	2.871891	1.597887	2.272711	2.500544	2.1226	1.826247	1.552318	1.138654	3.091455	2.03854	1.294433	1.53482	1.669827	2.553343	2.56033	4.534402	3.086857	1.394665	2.563024	1.860357	1.761175	3.616194	1.294964	3.258283	1.88297	3.462275	1.725425	2.265239	2.191388	1.298916
"Bacteroidia"	43.408356	34.3218	32.155434	25.338057	24.974754	22.419018	23.655605	20.162354	26.658075	22.708483	18.965466	31.393696	30.637405	29.772501	22.479586	24.697634	20.102184	18.901911	36.722584	35.381393	23.046265	29.237484	29.867676	24.013441	26.423187	30.500505	37.803585	32.78598	20.459852	23.29055	17.357557	32.191002	21.359488	25.213831	34.315174	32.906639	22.652	23.597824	23.620344	24.549232	26.100433	26.208767	27.16482	10.933703	9.713074	21.559319	27.281549	30.753296	26.538237	29.801418	36.586479	20.638203	27.328028	30.063482	27.795904	28.585516	21.923532	28.103088	24.782621	28.414959	23.452141	28.941545	26.688759	32.662621	27.031574	16.743042	26.778833	18.294914	21.395117	28.669676	31.291622	28.848719	17.800354	23.612732	33.660362	11.137454	28.594576	20.220459	28.065941	32.125706	30.075609	26.731216	24.16976	30.478621	26.438618	21.862244	30.615477	33.274826	23.427361	18.37042	15.005418	29.338266	23.593451	24.659286	10.489906	30.801476	33.370335
"Vampirovibrionia"	0.082756	0.056775	0.030118	0	0	0.04753	0	0	0.04554	0	0.031167	0	0.041149	0	0	0	1.870962	0	0.039115	0	0	0.044706	0	0.122571	0	0	0.034468	0.041608	0	0	0	0	0	0.036963	0	0.042879	0	0	0	0.038002	0	0	0	0.036995	0	0.046134	0	0.037915	0	0	0.042622	0	0	0.044085	0.054835	0	0	0.036005	0	0.034861	0	0.040659	0.033039	0	0.041713	0.043364	0.308948	0.035424	0	0.033231	0	0.055435	0.057418	0	0	0.836336	0.047478	0	0	0	0	0.053602	0.042684	0	0.043108	0	0.03482	0	0.034277	0	0	0.043327	0.032916	0.063984	2.620557	0.03272	0.031489
"Desulfovibrionia"	1.164492	1.525937	0.46336	1.069894	0.282892	1.050943	0.083284	0.328452	1.615201	0.45394	2.562711	3.140001	1.194933	1.136185	1.380074	1.94749	0.611876	0	0	0.943543	2.129528	0.538093	1.131974	0.691049	1.041583	1.319045	0.803373	2.229404	1.063962	1.181075	0.114742	1.295326	1.021739	0.874541	0.604769	1.33028	1.963262	1.341251	1.030825	0.751953	0.742717	0.934109	3.413676	1.263716	0	0.1637	0.090464	1.86151	1.07258	0.951341	1.590889	1.687537	3.076182	0.027711	1.09396	1.479988	1.372364	1.592761	0.844191	0.938815	1.189523	1.183835	1.323575	2.08427	1.380778	1.646645	0.568988	0	0.101714	0.556258	1.737758	0.168715	0.707532	0.24046	0.957033	0.729927	0.755126	0.945543	0.535338	0.379282	0.151406	0.063866	1.4261	1.291365	1.272103	1.175428	1.368739	1.345925	0.915344	0	0.895555	1.405202	0.4657	0.396698	0.25689	1.506911	1.896417
"Bacilli"	1.198481	2.298951	1.883558	4.283736	1.674614	6.444948	2.864692	5.570722	1.734378	8.158588	2.119339	11.910213	3.270131	1.756637	2.725547	1.937204	3.578159	3.275801	4.542965	1.318826	1.797119	2.184073	2.048014	2.214035	1.759947	4.934048	1.19843	4.152071	2.972816	10.13413	6.477304	4.20558	1.647313	5.198453	7.369458	2.532969	2.80257	2.470629	2.741736	5.83774	2.513869	4.10981	4.090224	7.940472	10.63119	9.240133	1.74267	0.973756	7.470387	1.267056	1.41148	5.213579	1.9356	4.597441	1.413831	3.911711	2.082175	1.50559	1.671497	2.441081	4.106704	1.910021	2.104504	2.727543	1.896184	11.898037	3.653096	2.971416	3.540287	1.828427	2.507073	2.388527	2.828275	5.896958	2.203498	8.0712	2.477146	2.730444	2.398387	1.956342	1.701917	3.119155	2.333895	2.515291	1.174899	5.458175	2.911575	2.594245	5.284847	3.564497	5.643945	5.524784	2.575981	0.48201	10.017312	0.435978	1.240662
"Clostridia"	43.610813	49.795174	52.760468	53.636154	60.477371	61.836643	55.142803	63.713959	59.537628	52.981464	58.293873	42.694386	55.006454	45.203938	51.490795	59.334152	59.341351	68.112793	50.779514	50.261826	58.293266	59.894981	50.028767	61.68726	56.991394	43.879242	50.488739	46.721691	62.730595	43.950165	59.196804	52.480137	67.955208	62.872307	47.828403	49.282047	54.963356	54.93671	59.064232	51.574249	58.980812	54.286423	47.989185	66.349686	56.592663	49.657719	56.838684	59.840202	47.130718	58.040218	53.743298	62.593967	56.072186	39.805019	55.999416	57.560177	58.160049	48.93121	57.199539	56.863968	56.44788	53.534485	56.856659	48.982899	63.794346	50.106064	53.201008	69.455902	65.815224	52	50.038086	59.024666	66.060699	57.938023	52.19479	65.167923	60.254875	64.370232	59.217243	56.797115	56.389431	60.200264	54.499722	50.858685	60.929947	58.706043	56.198704	54.118683	58.684086	67.132339	69.232353	50.424488	63.291355	60.991318	61.555161	52.756924	56.597313
"Clostridia_A"	0.032511	0.050661	1.376758	1.938885	1.355608	0.304325	0	0.999042	0.569729	0.051123	0.044237	0	0.051638	0.047123	0	0.228864	3.081815	0	0.034645	0.031031	2.946098	1.173726	0.06874	2.016794	0	0	0.03712	0.03677	0.801732	0	0	0	0.094998	0.093146	0.159065	0	0	0	0.047377	0.031533	1.008731	0.038949	3.633588	0.731492	0	0	0.032074	0.169228	0.032439	0.037785	0	0	0.029361	0	0.032901	0	0.047259	0	0.033768	0.03324	0.080792	0	0	0.322485	0.073528	0.185174	6.257679	0.032894	0.041014	0.902294	0.045702	0	0.031487	0.466691	0	0.644987	0.859126	0.038766	0.168275	0.064856	0.035515	0	0.074697	3.637723	0	0	0.652451	0.120722	0.178395	1.1218	0.506831	0.039814	0.034135	0	3.883366	0.225506	0.076361
"Desulfitobacteriia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peptococcia"	0	0	0.071242	0	0	0	0	0.114526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066323	0	0	0	0.130148	0	0	0	0	0	0
