#Datasets	 AA_0001	 AA_0003	 AA_0004	 AA_0006	 AA_0008	 AA_0009	 AA_0010	 AA_0012	 AA_0013	 AA_0014	 AA_0015	 AA_0016	 AA_0017	 AA_0018	 AA_0019	 AA_0021	 AA_0023	 AA_0025	 AA_0026	 AA_0027	 AA_0030	 AA_0032	 AA_0033	 AA_0034	 AA_0035	 AA_0036	 AA_0037	 AA_0038	 AA_0039	 AA_0040	 AA_0041	 AA_0042	 AA_0043	 AA_0044	 AA_0045	 AA_0046	 AA_0047	 AA_0048	 AA_0049	 AA_0050	 AA_0052	 AA_0053	 AA_0054	 AA_0055	 AA_0057	 AA_0058	 AA_0060	 AA_0061	 AA_0062	 AA_0065	 AA_0071	 AA_0080	 AA_0092	 AA_0093	 AA_0096	 AA_0097	 AA_0098	 AA_0099	 AA_0100	 AA_0102	 AA_0103	 AA_0104	 AA_0105	 AA_0106	 AA_0109	 AA_0111	 AA_0112	 AA_0113	 AA_0115	 AA_0116	 AA_0117	 AA_0118	 AA_0119	 AA_0120	 AA_0121	 AA_0123	 AA_0125	 AA_0126	 AA_0127	 AA_0128	 AA_0129	 AA_0130	 AA_0131	 AA_0132	 AA_0133	 AA_0134	 AA_0135	 AA_0136	 AA_0137	 AA_0138	 AA_0139	 AA_0141	 AA_0142	 AA_0143	 AA_0151	 AA_0152	 AA_0153
"Actinomyces"	0	0	0	0	0	0	0	0	0	0.037854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.060453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.194477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pauljensenia"	0	0	0	0	0	0	0	0.097417	0	0.304636	0	0.061933	0	0.061708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13747	0	0	0	0	0.051968	0	0	0	0.095476	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046175	0.101103	0	0.706641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193698	0	0	0	0	0	0.091649	0	0	0
"Bifidobacterium"	1.929109	1.847991	1.935679	3.351039	3.109967	0.631565	3.375943	2.282657	2.904812	4.243277	4.317347	2.538447	3.635884	5.237105	1.011261	2.549451	2.995422	0	0	1.699219	2.054888	2.416635	3.607661	1.265713	2.135933	4.342421	2.637218	3.889543	2.304018	3.834624	5.522521	0	2.317219	1.770079	2.140678	1.292459	3.534888	4.246607	2.946328	3.584975	2.715505	2.326029	2.141979	0.418269	4.506671	3.677934	3.943624	0	3.374921	1.775367	1.203309	2.414858	2.588627	5.407588	3.50964	1.13151	3.705353	4.391899	3.707536	2.656381	2.584884	4.090472	3.02909	2.931102	2.133583	2.490759	0.304887	2.973549	3.117474	3.070153	3.53505	1.832389	3.009134	2.294339	0.695272	2.519285	2.527707	2.69796	3.821951	2.19381	1.862762	1.932856	3.372385	1.554707	0.856228	2.471703	1.892707	1.864236	3.308985	4.208895	1.329674	2.239693	0	3.827438	1.930332	2.699717	0.067146
"Rothia"	0	0	0	0	0	0	0	0	0	0.849917	0	0	0	0	0.02921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Olsenella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Olsenella_B"	0	0	0	0.710474	1.390976	0	0	0	0	0	2.152497	0	0	3.136361	0.643621	0	0.733702	0	0	0	0	0	0	0.273139	0	1.260809	0	0	0.150962	0	0.328298	0	0	0	0	0	0	0	0.09696	0	0.246158	1.283231	0	0	0	0	0.411706	0	0.242445	0	0	0	0	0	0	0	2.104625	0.037686	0.968558	0.807128	1.447683	0	1.865476	0	0	0.620878	0	0	0.255104	0	0	0	0	0.040775	0	0	0	0	0	0.066276	0	0	1.471657	0	0.460913	0	0	0	0.610434	0	0.568933	0	0	0.093831	0	0	0
"Olsenella_E"	0	0	0	0.343304	0	0	0	0.535793	0	0	0	0	0	0	0	0	0	0	0	0.550535	0.355357	0.794191	0.65115	0.066655	0	0.797632	0	0.709886	0	0.796456	0.168741	0	0	0	0	0	0	0	0	0	0	0.495981	0.051082	0	0	0	0.708909	0	0	0	0	0	0.071735	0	0	0	0	0	0.045985	0	0	0	0	0	0	0	0	0.669937	0	0.528827	0	0	0	0	0	0.689953	0.074299	0	0	0	0	0	0.107854	0	0	0	0	0	0	0	0.504013	0.742963	0.575996	0.03055	1.091277	0	0
"Parolsenella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.373724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153935	0	0
"Collinsella"	0.674355	0.423293	0.54391	0.600935	0.45977	0.418777	1.131198	1.446494	0.625652	1.139231	0	0.361946	0.775347	2.080622	0.602325	1.97978	0.599777	0	0.708264	1.855948	1.358481	1.118182	0.941229	0.487593	0.497359	1.408234	0.559629	0.966948	0.703819	1.972348	1.138712	0.641475	1.528577	0.642631	1.133592	1.742149	0.78161	1.361805	1.4067	1.546947	0.732262	1.522292	1.052007	0	0	0	0.856248	1.343267	1.7647	0.635413	0	0	1.376847	3.747757	2.241725	1.124331	1.039999	1.105464	1.278956	0.721599	0.475678	0.663138	0.950182	0.563908	0.450087	2.101805	0.538655	1.423074	0.835802	1.134573	1.749177	0	0.603909	1.064527	0.940264	1.406737	0.734475	0.611169	0.319836	0.69212	1.502412	0.986792	1.273144	1.139065	0.692233	0.689523	0.642229	0	1.43048	0.986099	0.621459	0.783772	2.635278	1.531848	0.745104	0.568743	0.733753
"Enorma"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.095687	0	0	0	0	0	0	0	0	0	0	0	0	0.513135	0	0	0	0	0	0	0.09674	0	0	0	0	0	0	0	0.215371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192562	0	0.537627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.532013	0	0	0	0	0	0.067646	0	0	0
