#Datasets	 AA_0001	 AA_0003	 AA_0004	 AA_0006	 AA_0008	 AA_0009	 AA_0010	 AA_0012	 AA_0013	 AA_0014	 AA_0015	 AA_0016	 AA_0017	 AA_0018	 AA_0019	 AA_0021	 AA_0023	 AA_0025	 AA_0026	 AA_0027	 AA_0030	 AA_0032	 AA_0033	 AA_0034	 AA_0035	 AA_0036	 AA_0037	 AA_0038	 AA_0039	 AA_0040	 AA_0041	 AA_0042	 AA_0043	 AA_0044	 AA_0045	 AA_0046	 AA_0047	 AA_0048	 AA_0049	 AA_0050	 AA_0052	 AA_0053	 AA_0054	 AA_0055	 AA_0057	 AA_0058	 AA_0060	 AA_0061	 AA_0062	 AA_0065	 AA_0071	 AA_0080	 AA_0092	 AA_0093	 AA_0096	 AA_0097	 AA_0098	 AA_0099	 AA_0100	 AA_0102	 AA_0103	 AA_0104	 AA_0105	 AA_0106	 AA_0109	 AA_0111	 AA_0112	 AA_0113	 AA_0115	 AA_0116	 AA_0117	 AA_0118	 AA_0119	 AA_0120	 AA_0121	 AA_0123	 AA_0125	 AA_0126	 AA_0127	 AA_0128	 AA_0129	 AA_0130	 AA_0131	 AA_0132	 AA_0133	 AA_0134	 AA_0135	 AA_0136	 AA_0137	 AA_0138	 AA_0139	 AA_0141	 AA_0142	 AA_0143	 AA_0151	 AA_0152	 AA_0153
"Actinomycetales"	1.888191	1.812324	1.903396	3.278346	3.04093	0.620604	3.311497	2.349788	2.845118	5.330741	4.228718	2.573253	3.590412	5.200278	1.036762	2.496131	2.925059	0	0	1.672595	2.010994	2.370653	3.545275	1.239138	2.102538	4.257889	2.585428	3.852011	2.255319	3.767541	5.432784	0.02595	2.274179	1.743785	2.09981	1.268796	3.489287	4.181896	2.907311	3.714332	2.683125	2.293788	2.10101	0.427513	4.501164	3.613415	3.868174	0	3.414383	1.741197	1.186077	2.383395	2.54655	5.346122	3.454437	1.124221	3.655886	4.320161	3.645495	2.603125	2.540075	4.030088	3.010138	2.968839	2.103354	3.467902	0.304553	2.917357	3.073165	3.010399	3.476032	1.807127	2.960905	2.25551	0.686571	2.505804	2.473792	2.651794	3.766761	2.154282	1.83108	1.905905	3.310808	1.539265	0.841219	2.448042	1.854794	2.024869	3.237598	4.142176	1.300502	2.228989	0.03549	3.866895	1.894938	2.655786	0.071069
"Coriobacteriales"	0.757351	0.871141	0.738822	2.708796	2.655366	1.537932	1.470017	2.734076	2.242462	1.718881	3.931276	1.785926	2.037102	5.965682	2.334202	4.217541	1.903905	1.630675	2.014385	2.868972	3.054682	2.325032	2.584378	1.225715	1.162935	4.306421	0.993782	3.639574	1.825765	3.412113	3.348111	2.664883	2.866297	1.676317	2.784636	2.928717	3.183958	2.998788	2.499751	3.274968	1.48142	3.846102	2.529981	3.167978	0	3.353822	2.827916	2.022853	2.368565	1.231311	1.350976	2.787536	2.928457	4.698681	3.533239	3.90872	4.250339	2.786404	2.556361	2.126725	4.328901	2.424306	3.252033	3.725518	1.547751	3.217423	2.727817	2.87847	1.601961	2.278257	2.505317	2.127642	1.832101	1.556459	1.141237	3.100195	2.044487	1.29801	1.539346	1.674363	2.559201	2.565598	4.547678	3.096616	1.397796	2.569188	1.866438	1.766393	3.625798	1.297993	3.268797	1.890408	3.475579	1.731222	2.271262	2.197188	1.302926
"Bacteroidales"	43.523239	34.394753	32.21426	25.408525	24.780731	22.488111	23.716076	20.213381	26.443943	22.759047	19.016123	31.457464	30.714279	29.848101	22.530256	24.752365	20.1159	18.963724	36.798943	35.451046	22.659508	29.291819	29.946709	24.073473	26.474358	30.569876	37.871784	32.861897	20.506414	23.340675	17.404989	32.265053	21.416622	25.278212	34.39592	32.982403	22.698364	23.65123	23.672941	24.605221	26.166931	26.268116	26.488243	10.955958	9.740244	21.608879	27.363472	30.837151	26.596525	29.907125	36.655144	20.68165	27.3939	30.123053	27.860907	28.66012	21.966896	28.162247	24.849751	28.484789	23.50419	28.993141	26.747967	32.354218	27.090597	16.78681	26.83061	18.332602	21.443903	28.734575	31.331188	28.907591	17.849976	23.675013	33.730091	11.164258	28.668173	20.268728	28.141287	32.207214	30.144405	26.797005	24.233644	30.501968	26.482723	21.911232	30.699747	33.363102	23.484108	18.412558	15.048086	29.43182	23.668205	24.729296	10.511157	30.873287	33.460732
"Flavobacteriales"	0	0	0	0	0.258161	0	0	0	0.296468	0	0	0	0	0	0	0	0.043322	0	0	0	0.448808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.741255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.397491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066983	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gastranaerophilales"	0.082997	0.056909	0.030203	0	0	0.047688	0	0	0.045685	0	0.031257	0	0.04126	0	0	0	1.876899	0	0.039212	0	0	0.044806	0	0.122925	0	0	0.034543	0.041712	0	0	0	0	0	0.03707	0	0.042992	0	0	0	0.0381	0	0	0	0.037102	0	0.046249	0	0.038027	0	0	0.042715	0	0	0.044172	0.054978	0	0	0.036088	0	0.034958	0	0.040737	0.033123	0	0.041812	0.04351	0.309938	0.035505	0	0.033312	0	0.055567	0.057602	0	0	0.8387	0.047617	0	0	0	0	0.053736	0.042809	0	0.043205	0	0.034933	0	0.034368	0	0	0.043498	0.033042	0.064199	2.630067	0.03282	0.031586
"Desulfovibrionales"	1.167892	1.529531	0.464668	1.073499	0.283641	1.05443	0.083507	0.329389	1.620366	0.455128	2.570101	3.146933	1.198152	1.139571	1.383672	1.953568	0.613818	0	0	0.945633	2.13588	0.539303	1.135538	0.693041	1.043706	1.322232	0.805123	2.234962	1.066997	1.183884	0.115063	1.298507	1.025054	0.877082	0.606306	1.333809	1.967974	1.344441	1.033455	0.753891	0.74489	0.936776	3.423669	1.26736	0	0.164111	0.090744	1.867035	1.07519	0.954877	1.59435	1.691174	3.083936	0.027766	1.096807	1.484536	1.375601	1.596437	0.846477	0.941418	1.19231	1.1861	1.32691	2.090444	1.384046	1.652222	0.570813	0	0.101973	0.557615	1.741833	0.169116	0.7098	0.241101	0.959205	0.73199	0.75733	0.948156	0.536916	0.380313	0.151809	0.064026	1.430275	1.295448	1.274959	1.178255	1.373213	1.349912	0.917775	0	0.898445	1.410752	0.46749	0.398031	0.257891	1.511509	1.902273
"Acholeplasmatales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117733	0	0
"Erysipelotrichales"	1.076002	1.807946	1.653056	0.714473	0.628973	3.234823	0.079188	1.46636	1.539688	2.014935	1.852207	5.937789	2.737709	0.245507	0.634348	1.379192	0.995274	3.027582	4.453382	0.235194	1.375973	0.905084	1.412114	0.252208	1.623839	2.306896	1.06464	0.763418	2.178589	1.128595	4.121967	2.035093	1.419461	3.060521	2.349941	1.022377	2.635965	1.849404	1.254855	0.907101	0.837622	3.52217	2.996047	7.356252	3.100195	7.098526	1.38921	0.920996	0.300004	1.084666	0.886081	4.004104	0.143404	2.100082	1.375361	3.351467	1.874385	0.526131	0.538924	1.494236	3.34483	1.648414	0.383419	1.612944	1.725629	1.172431	1.284629	2.303622	2.237646	1.132611	1.643671	1.147574	2.111747	1.50724	1.570137	1.312341	0.942505	1.497444	1.633005	1.106364	0.390768	2.517578	1.581635	1.178228	0.824276	3.657705	2.094337	0.221551	1.61216	1.710534	1.851532	2.623999	1.805098	0.081318	0.853563	0.362798	1.095248
"Haloplasmatales"	0	0	0	0	0	0	1.852998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.925244	0	0	0	0	0	0	0	0	0	0.598888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.259527	0	0	0	0.066036	0	0.537128	0	0	0	0	0.636139	0	0	0	0	0	0	0.139093	0	0	0	1.582244	0	0	0	0	0	0	0
"Lactobacillales"	0.0993	0.474531	0.040078	2.158329	0.975646	2.587063	0.911381	2.992675	0.15358	6.096063	0.25207	5.957572	0.518579	1.465163	2.07749	0.538263	1.497693	0.229492	0.073943	1.067118	0.271515	0.070875	0.613865	0.73331	0.122789	2.617502	0.121344	3.384454	0.687941	9.004187	2.352026	2.165842	0.183516	0.547898	4.071721	1.504729	0.154665	0.609784	1.463998	4.595493	1.269354	0.540784	0.684599	0.537131	6.908598	2.140896	0.335753	0	7.166534	0.095235	0.51953	1.173045	1.735941	2.491323	0	0.551954	0.189482	0.961091	1.128636	0.93654	0.731727	0.243473	1.645087	1.08778	0.138192	10.707104	0.080775	0.298414	1.279595	0.635826	0.833288	1.150795	0.712587	3.829089	0.614257	5.025648	0.10657	1.207589	0.123333	0.840474	1.296937	0.59681	0.727751	0.454144	0.052523	1.645788	0.759384	2.332291	2.657252	0.249872	1.664596	2.86853	0.708578	0.370212	0.8865	0.031933	0.101865
