#Datasets	 AA_0001	 AA_0003	 AA_0004	 AA_0006	 AA_0008	 AA_0009	 AA_0010	 AA_0012	 AA_0013	 AA_0014	 AA_0015	 AA_0016	 AA_0017	 AA_0018	 AA_0019	 AA_0021	 AA_0023	 AA_0025	 AA_0026	 AA_0027	 AA_0030	 AA_0032	 AA_0033	 AA_0034	 AA_0035	 AA_0036	 AA_0037	 AA_0038	 AA_0039	 AA_0040	 AA_0041	 AA_0042	 AA_0043	 AA_0044	 AA_0045	 AA_0046	 AA_0047	 AA_0048	 AA_0049	 AA_0050	 AA_0052	 AA_0053	 AA_0054	 AA_0055	 AA_0057	 AA_0058	 AA_0060	 AA_0061	 AA_0062	 AA_0065	 AA_0071	 AA_0080	 AA_0092	 AA_0093	 AA_0096	 AA_0097	 AA_0098	 AA_0099	 AA_0100	 AA_0102	 AA_0103	 AA_0104	 AA_0105	 AA_0106	 AA_0109	 AA_0111	 AA_0112	 AA_0113	 AA_0115	 AA_0116	 AA_0117	 AA_0118	 AA_0119	 AA_0120	 AA_0121	 AA_0123	 AA_0125	 AA_0126	 AA_0127	 AA_0128	 AA_0129	 AA_0130	 AA_0131	 AA_0132	 AA_0133	 AA_0134	 AA_0135	 AA_0136	 AA_0137	 AA_0138	 AA_0139	 AA_0141	 AA_0142	 AA_0143	 AA_0151	 AA_0152	 AA_0153
"Actinobacteriota"	2.638382	2.67847	2.64182	5.971293	5.683702	2.154603	4.771269	5.082928	5.075356	7.063292	8.141581	4.352596	5.6195	11.135537	3.364891	6.695106	4.819622	1.647096	2.017764	4.533954	5.059769	4.699574	6.127357	2.459374	3.260397	8.543443	3.574522	7.474566	4.072895	7.168233	8.757113	2.701035	5.124085	3.41423	4.877615	4.185745	6.650456	7.162717	5.397582	6.979414	4.163889	6.12449	4.620659	3.588959	4.511812	6.949962	6.685736	2.042815	5.782349	2.962702	2.543851	5.162451	5.468368	10.031609	6.97107	5.018394	7.889203	7.09199	6.183189	4.717562	6.854551	6.443959	6.258319	6.676904	3.643175	6.66901	3.028786	5.783758	4.664168	5.278514	5.974631	3.93018	4.775923	3.80783	1.823502	5.593655	4.506758	3.941227	5.304739	3.818761	4.382441	4.461924	7.839776	4.624779	2.234406	5.009486	3.714565	3.784876	6.85004	5.428457	4.560664	4.125546	3.522414	5.585401	4.175529	4.854892	1.376407
"Bacteroidota"	43.392963	34.305019	32.151791	25.328239	24.953226	22.411177	23.646776	20.151026	26.64949	22.704762	18.963177	31.381308	30.628574	29.763681	22.471144	24.68092	20.085398	18.893322	36.714149	35.370075	23.030863	29.226082	29.859943	24.00231	26.414274	30.480501	37.798908	32.769524	20.45141	23.277506	17.352285	32.177547	21.357262	25.206923	34.310417	32.893223	22.628824	23.580723	23.609743	24.540701	26.088505	26.195366	27.157215	10.931617	9.709278	21.555149	27.268169	30.729074	26.532682	29.789841	36.579128	20.632229	27.322269	30.057047	27.791079	28.575453	21.917643	28.087654	24.774952	28.405867	23.445375	28.93401	26.679678	32.654896	27.026224	16.735195	26.766693	18.287973	21.388918	28.661703	31.284132	28.83042	17.795614	23.605846	33.641949	11.134127	28.585743	20.215849	28.048307	32.109097	30.070642	26.720245	24.162418	30.462812	26.424274	21.85453	30.592144	33.272835	23.42066	18.364105	14.995187	29.330711	23.589207	24.648247	10.479962	30.792147	33.359566
"Cyanobacteria"	0.082726	0.05762	0.030113	0	0	0.047513	0	0	0.045523	0	0.031163	0	0.041136	0	0	0.033407	1.870468	0	0.039104	0	0	0.045501	0	0.122511	0	0.027955	0.035348	0.041584	0	0	0	0	0	0.036951	0	0.042861	0	0	0	0.037989	0	0	0	0.036982	0	0.046125	0	0.040653	0	0	0.042612	0	0	0.044076	0.054826	0	0	0.035986	0	0.034849	0	0.040647	0.034029	0	0.041705	0.043343	0.311164	0.035411	0	0.033221	0	0.057006	0.057396	0	0.026524	0.836016	0.047463	0	0	0	0	0.05358	0.04267	0	0.043928	0	0.034793	0	0.034266	0	0	0.043316	0.032908	0.068219	2.620514	0.033592	0.032266
"Desulfobacterota"	1.165556	1.526064	0.465011	1.072349	0.284653	1.052555	0.084689	0.329696	1.61559	0.45473	2.562401	3.140341	1.196977	1.135799	1.380544	1.947029	0.61415	0	0	0.943241	2.13078	0.538696	1.131653	0.692821	1.04212	1.319256	0.806808	2.238791	1.064796	1.181288	0.115832	1.294785	1.021584	0.874989	0.605464	1.329737	1.962582	1.347496	1.032621	0.751691	0.743092	0.933607	3.415241	1.267483	0	0.163669	0.091236	1.859876	1.073401	0.950918	1.591517	1.687048	3.075533	0.027705	1.095598	1.479467	1.373848	1.59378	0.843929	0.941729	1.190622	1.183488	1.324126	2.085366	1.382625	1.648216	0.574641	0	0.10168	0.556089	1.73843	0.169411	0.708196	0.24039	0.957338	0.729648	0.7564	0.945288	0.535001	0.379086	0.152311	0.063839	1.427145	1.292002	1.275596	1.176755	1.371009	1.347522	0.918167	0	0.89609	1.413035	0.46803	0.398653	0.269164	1.515165	1.904462
"Firmicutes"	1.198056	2.297827	1.883209	4.281674	1.674507	6.442694	2.863623	5.567393	1.733757	8.156935	2.119083	11.906302	3.269102	1.756039	2.724524	1.935893	3.576752	3.274312	4.541646	1.318404	1.796943	2.183222	2.047432	2.213648	1.759354	4.930812	1.198282	4.149743	2.972148	10.128454	6.475338	4.203822	1.647064	5.196725	7.36809	2.532982	2.799702	2.468743	2.740417	5.835711	2.513332	4.108274	4.090221	7.938576	10.627035	9.238346	1.741711	0.973825	7.468823	1.266492	1.411158	5.21207	1.935945	4.596457	1.4145	3.910334	2.081616	1.504763	1.67098	2.44023	4.10624	1.909461	2.103788	2.727604	1.896515	11.892462	3.651711	2.970289	3.539126	1.827872	2.507561	2.387012	2.827228	5.895238	2.202293	8.068113	2.477135	2.729708	2.396881	1.956151	1.701583	3.117875	2.333874	2.515266	1.174224	5.456026	2.909356	2.594023	5.28316	3.562947	5.64067	5.523361	2.575385	0.481794	10.007182	0.436693	1.241048
"Firmicutes_A"	43.657394	49.854641	54.13472	55.584534	61.809082	62.14299	55.149498	64.716805	60.108093	53.030651	58.339115	42.708317	55.060936	45.264454	51.501106	59.550976	62.401237	68.098885	50.81057	50.299065	61.216587	61.074955	50.097481	63.700821	56.998802	43.874119	50.525795	46.766083	63.523045	43.96843	59.196823	52.484077	68.049995	62.968163	47.983402	49.278679	54.990833	54.945663	59.122883	51.61533	59.994244	54.339161	51.62056	67.068146	56.585945	49.661503	56.881359	60.010349	47.161659	58.083225	53.745911	62.592388	56.103271	39.802792	56.028984	57.570717	58.212051	48.947895	57.243729	56.899261	56.52895	53.529194	56.86834	49.298798	63.865837	50.29813	59.462795	69.495316	65.862518	52.911526	50.073975	59.026569	66.094559	58.407597	52.186958	65.81572	61.108685	64.408478	59.399025	56.879349	56.426022	60.21204	54.577457	54.50499	60.941406	58.711567	56.834335	54.238186	58.862377	68.247879	69.720284	50.466522	63.325451	60.987465	65.388023	52.970661	56.66011
"Firmicutes_B"	0	0	0.075282	0	0.043433	0	0	0.120217	0	0	0	0	0	0	0	0	0.037544	0	0	0	0.037772	0	0	0	0	0	0	0	0.151647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104379	0	0	0	0.147821	0	0	0	0.057877	0	0
"Firmicutes_C"	5.846986	4.314537	1.12286	2.849895	2.522451	0.86976	2.865058	2.067436	1.97687	4.102262	5.942077	4.252364	3.402189	8.755332	7.039094	3.352692	3.382869	2.067389	1.044634	6.297319	1.250361	1.165956	4.172549	2.273495	3.955439	4.215812	1.719658	4.071409	1.875976	5.588807	3.471582	2.403463	0.845762	1.257058	1.043819	6.670639	4.675915	4.740314	5.929932	4.190881	3.704097	4.036458	2.166123	5.371672	5.298123	2.455028	4.653055	2.217438	7.79733	3.97321	2.376375	2.527471	3.055963	8.771046	4.244412	0.924997	4.518042	7.676282	4.748509	2.026906	3.863933	3.414344	3.793224	2.895587	0.830565	4.339015	0.690284	1.39198	1.712983	4.772978	5.177216	0.545167	3.671508	4.199708	3.260752	2.677863	1.005771	3.300925	1.136532	3.535677	1.103553	1.488828	4.863572	1.336715	3.109583	4.87078	0.669351	1.614629	2.853405	1.08034	1.254755	5.341903	2.296273	6.996675	1.390448	4.823953	2.286928
"Fusobacteriota"	1.008967	2.05687	0	0	0	0	0.816742	0	0	0.070501	0	0	0	0	0.453593	0	0	0	1.529523	0	0	0	0	0	0	0	0	0	1.046494	0	0	1.523686	0	0	0	0	0.287013	0.886821	0	0	0	0	0.332112	0	0	0.183011	0	0	0	0	0	0.951032	0	1.973328	0	1.472426	0	0	0	0	0	1.912297	0	0	0	2.70837	0	0	0	0	0	0	0	0	1.777085	0	0	0	0	0	1.136257	0.869813	0	0	0	0	0	0	0	0	0	0.036292	0	0	0	0	0.098371
"Proteobacteria"	1.008967	2.846093	3.359315	3.884222	2.599294	4.878709	9.802345	1.964496	1.166169	4.416871	3.849131	2.258772	0.781584	2.18916	11.065104	1.618955	0.901052	6.018999	3.092565	1.204983	1.68085	0.882389	5.211578	3.546484	6.569615	6.560796	3.539174	2.488298	4.841588	8.687283	4.631025	3.211584	1.954246	1.044961	2.716514	1.914111	6.004677	4.867522	2.166823	6.048286	1.98991	4.262645	3.590709	3.796564	13.267807	9.747207	2.678733	2.125969	4.183754	2.973613	1.187196	1.235308	3.038651	4.695941	1.164129	1.048213	2.606883	5.061649	4.534714	4.45417	3.504078	2.632599	2.938498	3.444502	0.673641	5.666256	1.796646	2.035276	2.730605	5.958098	3.199452	5.054235	4.021441	3.843391	4.1236	5.144856	1.116519	4.286653	3.179517	1.321879	3.546132	3.011856	3.432616	1.689079	4.767014	2.920858	3.770068	3.147928	1.406454	3.316275	2.49576	3.719313	4.190332	0.833547	4.10231	2.028765	2.907846
