#Datasets	 AA_0001	 AA_0003	 AA_0004	 AA_0006	 AA_0008	 AA_0009	 AA_0010	 AA_0012	 AA_0013	 AA_0014	 AA_0015	 AA_0016	 AA_0017	 AA_0018	 AA_0019	 AA_0021	 AA_0023	 AA_0025	 AA_0026	 AA_0027	 AA_0030	 AA_0032	 AA_0033	 AA_0034	 AA_0035	 AA_0036	 AA_0037	 AA_0038	 AA_0039	 AA_0040	 AA_0041	 AA_0042	 AA_0043	 AA_0044	 AA_0045	 AA_0046	 AA_0047	 AA_0048	 AA_0049	 AA_0050	 AA_0052	 AA_0053	 AA_0054	 AA_0055	 AA_0057	 AA_0058	 AA_0060	 AA_0061	 AA_0062	 AA_0065	 AA_0071	 AA_0080	 AA_0092	 AA_0093	 AA_0096	 AA_0097	 AA_0098	 AA_0099	 AA_0100	 AA_0102	 AA_0103	 AA_0104	 AA_0105	 AA_0106	 AA_0109	 AA_0111	 AA_0112	 AA_0113	 AA_0115	 AA_0116	 AA_0117	 AA_0118	 AA_0119	 AA_0120	 AA_0121	 AA_0123	 AA_0125	 AA_0126	 AA_0127	 AA_0128	 AA_0129	 AA_0130	 AA_0131	 AA_0132	 AA_0133	 AA_0134	 AA_0135	 AA_0136	 AA_0137	 AA_0138	 AA_0139	 AA_0141	 AA_0142	 AA_0143	 AA_0151	 AA_0152	 AA_0153
"Actinomyces graevenitzii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pauljensenia odontolytica_A"	0	0	0	0	0	0	0	0	0	0.04121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pauljensenia odontolytica_B"	0	0	0	0	0	0	0	0.042986	0	0.036418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pauljensenia odontolytica_C"	0	0	0	0	0	0	0	0	0	0.081461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pauljensenia sp000278725"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.252634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pauljensenia sp000411415"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pauljensenia sp000466265"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.289096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pauljensenia sp001064145"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072203	0	0	0	0	0	0	0	0	0
"Pauljensenia sp001072465"	0	0	0	0	0	0	0	0	0	0.045043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bifidobacterium adolescentis"	1.507688	0.932046	0.637506	0.773415	0.898012	0	1.578702	0.843305	1.196634	1.103082	1.036369	0	1.017897	1.617421	0	0.922536	0.681781	0	0	1.17355	0.677797	1.082938	0.80877	0.878856	0.226028	0	0.982218	0	0.864804	0.959735	1.504719	0	1.002275	0.046271	0.830666	0	0.037127	1.070595	1.044964	0.830988	0.895748	0.889635	0.495028	0	1.283697	0	0.990012	0	1.310197	1.007412	0	1.145474	0.851078	1.351351	1.079496	0	1.043979	1.191211	0.808069	0.874566	0.982117	0.887577	1.258752	0	0.663155	1.07174	0	1.108633	1.037759	0.950519	1.134455	0	1.038676	0.73833	0.270854	1.223195	0.757735	0.944287	0	1.026707	0.986412	0	0.929001	0.860662	0	0	0	0	1.007411	0.943667	0.810939	0.040012	0	0.029845	1.067158	0.876114	0
"Bifidobacterium angulatum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bifidobacterium animalis"	0	0	0	0	0.841796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.682249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087136	0	0	0	0.067355	0	0	0	0	0	0	0	0	0	0	0.589304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046856
"Bifidobacterium bifidum"	0	0	0	0.675522	0.763238	0	0	0	0	0.956452	1.139363	0	0.868685	1.410167	0	0	0.642891	0	0	0	0.653697	0	0.860019	0	0	1.309968	0.730078	1.164777	0.680397	0.942681	1.299476	0	0	0	0	0	0	1.036716	0	0.967288	0.881143	0.618062	0.745813	0	0.638073	0	0.942407	0	1.245594	0.492912	0	0	0.86564	1.414944	1.074643	0	0	1.103235	1.197139	0	0	0.92071	0	0	0.938158	0	0	0	0.894015	0.938927	1.081529	0	0	0.765389	0	0	0.896316	0	1.076462	0	0	0	0.957776	0	0	0	0	0	0.885986	0.906854	0	0	0	0.027549	0	0	0
"Bifidobacterium breve"	0	0	0	0	0	0	0	0	0.070635	0	0.043987	0.03008	0.048022	0.061616	0	0	0	0	0	0	0	0	0	0	0	0.065845	0	0.282963	0	0.040739	0.490436	0	0	0	0	0	0.971012	0.036784	0	0	0	0	0	0.371232	0.07677	0	0.038789	0	0	0	0	0.040249	0	0.042395	0	0	0.831844	0	0	0	0	0.03715	0	0	0	0	0	0	0.030677	0.035548	0.031065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29609	0	0	0	0	0	0.06627	0	0	0	0	0
"Bifidobacterium catenulatum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.171826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bifidobacterium dentium"	0	0	0	0.458992	0	0	0	0	0	0.161964	0	0.512195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061737	0	0	0	0	0	0	0.374017	0	0	0	0	0	0	0	0	0	0.264291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164332	0	0	0	0	0.562566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.707526	0	0	0	0	0	0	0
"Bifidobacterium globosum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.028214	0	0	0	0	0	0	0	0	0
"Bifidobacterium infantis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bifidobacterium longum"	0.42807	0.921834	0.795182	0.966606	0.668103	0.638171	1.763427	0.945689	1.658876	1.288047	1.351786	1.231607	1.004176	1.508192	0	1.074462	0.969806	0	0	0.524463	0.749492	1.076849	0.932888	0.044325	0.971259	1.576813	0.953053	1.270759	0.744692	1.363335	1.430736	0	1.300249	0.938188	0.976794	1.2809	1.809225	1.360992	1.143668	1.169539	0.967959	0.860821	0.922453	0.043461	1.693977	2.093976	1.214814	0	0.888577	0.287832	1.189213	1.235763	0.88991	1.530207	0.424227	0.261661	1.122547	1.464238	1.424595	1.081538	0.897626	1.340402	1.402425	0.981811	0.101159	0.942819	0.29203	1.107723	1.169232	1.071845	1.264468	0.961605	1.106459	0.78549	0.401429	0.550488	0.910903	1.09047	1.264057	1.141076	0.896557	0.75336	1.073695	0.680154	0.122849	1.339004	1.038982	0	1.144747	0.989459	0.499039	1.237871	0	2.683778	0.763458	1.071016	0
"Bifidobacterium merycicum"	0	0	0	0.461585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bifidobacterium moukalabense"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038609	0	0	0	0	0	0	0
"Bifidobacterium pseudocatenulatum"	0	0	0.507655	0.064181	0	0	0.090034	0.533025	0	0.890324	0.831456	0.772888	0.757205	0.739392	1.022632	0.236125	0.271011	0	0	0	0	0.277476	0.122517	0.30951	0.911679	1.120519	0	0.734674	0.062882	0.615822	0.373495	0	0	0.798577	0	0	0.171355	0.829566	0.786374	0.730742	0	0	0	0	0.124594	1.524617	0.854249	0	0	0	0	0	0	1.148649	0.770791	0.84644	0.737562	0.71594	0.359142	0.786493	0.566636	0.968905	0.379555	0.931438	0.463084	0	0	0.706321	0	0.092734	0.054076	0.870231	0.90311	0.040975	0	0.113128	0	0.722743	0.935029	0.041033	0	1.128824	0	0	0.709794	0.826033	0.880935	0	0.121425	0.719198	0	0.882765	0	0.206621	0.055079	0.417242	0
"Bifidobacterium ruminantium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.293931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bifidobacterium scardovii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.844507	0	0	0	0	0	0	0	0	0
"Bifidobacterium sp002742445"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.311173	0	0	0	0	0	0	0.289876	0	0	0.341932	0	0.432161	0	0	0.491629	0	0	0	0	0	0.576896	0	0	0	0	0	0	0	0.474465	0	0	0	0	0	0	0	0	0	0.056305	0	0	0	0	0	0	0	0.033238	0	0	0	0	0	0	0.045594	0	0	0	0	0	0.386857	0	0	0	0	0	0.038883	0	0	0	0	0	0	0.164133	0	0	0	0	0.927499	0	0.332091	0
"Bifidobacterium vaginale"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.474366	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rothia mucilaginosa"	0	0	0	0	0	0	0	0	0	0.126505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
