#Datasets	 AA_0001	 AA_0003	 AA_0004	 AA_0006	 AA_0008	 AA_0009	 AA_0010	 AA_0012	 AA_0013	 AA_0014	 AA_0015	 AA_0016	 AA_0017	 AA_0018	 AA_0019	 AA_0021	 AA_0023	 AA_0025	 AA_0026	 AA_0027	 AA_0030	 AA_0032	 AA_0033	 AA_0034	 AA_0035	 AA_0036	 AA_0037	 AA_0038	 AA_0039	 AA_0040	 AA_0041	 AA_0042	 AA_0043	 AA_0044	 AA_0045	 AA_0046	 AA_0047	 AA_0048	 AA_0049	 AA_0050	 AA_0052	 AA_0053	 AA_0054	 AA_0055	 AA_0057	 AA_0058	 AA_0060	 AA_0061	 AA_0062	 AA_0065	 AA_0071	 AA_0080	 AA_0092	 AA_0093	 AA_0096	 AA_0097	 AA_0098	 AA_0099	 AA_0100	 AA_0102	 AA_0103	 AA_0104	 AA_0105	 AA_0106	 AA_0109	 AA_0111	 AA_0112	 AA_0113	 AA_0115	 AA_0116	 AA_0117	 AA_0118	 AA_0119	 AA_0120	 AA_0121	 AA_0123	 AA_0125	 AA_0126	 AA_0127	 AA_0128	 AA_0129	 AA_0130	 AA_0131	 AA_0132	 AA_0133	 AA_0134	 AA_0135	 AA_0136	 AA_0137	 AA_0138	 AA_0139	 AA_0141	 AA_0142	 AA_0143	 AA_0151	 AA_0152	 AA_0153
"Actinomycetaceae"	0	0	0	0	0	0	0	0.10072	0	0.336885	0	0.076152	0	0.067226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.195154	0	0	0	0	0.052386	0	0	0	0.105127	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046342	0.105121	0	0.882044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193854	0	0	0	0	0	0.107252	0	0	0
"Bifidobacteriaceae"	1.894092	1.815177	1.904856	3.281978	3.050968	0.617579	3.312931	2.241207	2.850877	4.173833	4.241719	2.50349	3.577485	5.146051	0.996843	2.502934	2.931539	0	0	1.670014	2.010548	2.378227	3.55066	1.239417	2.106653	4.271275	2.594042	3.833635	2.261073	3.769353	5.436465	0	2.273582	1.735502	2.103194	1.272506	3.480433	4.188023	2.894676	3.525777	2.672788	2.287436	2.10209	0.409344	4.440899	3.618455	3.877245	0	3.308348	1.74514	1.185106	2.379049	2.542488	5.336251	3.455946	1.116502	3.647771	4.329524	3.647984	2.609384	2.540923	4.035666	2.973948	2.874162	2.102824	2.458639	0.297816	2.911822	3.063185	3.017724	3.480583	1.797007	2.961749	2.253946	0.686016	2.468336	2.479452	2.646149	3.759797	2.160443	1.835707	1.902918	3.310115	1.523024	0.842534	2.438234	1.860465	1.833424	3.243332	4.138935	1.300651	2.221488	0	3.762414	1.882994	2.657272	0.065795
"Micrococcaceae"	0	0	0	0	0	0	0	0	0	0.836008	0	0	0	0	0.028793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Atopobiaceae"	0	0	0	1.038085	1.378052	0	0	0.547078	0	0	2.139065	0	0	3.105557	0.645366	0.042276	0.729354	0	0	0.567395	0.363366	0.798738	0.682935	0.504134	0	2.044195	0	0.7143	0.155346	0.799613	0.494943	0	0	0	0	0	0	0	0.100638	0.033339	0.253605	1.766582	0.056227	0	0	0	1.121969	0	0.245997	0.035529	0	0	0.090127	0	0	0	2.090034	0.039048	1.02087	0.803452	1.442635	0	1.844613	0	0	0.63677	0	0.68149	0.252311	0.538698	0	0	0	0.045751	0	1.075965	0.075894	0	0	0.073529	0	0	1.564921	0	0.45609	0	0	0	0.62013	0	1.052413	0.745213	0.598471	0.122268	1.239608	0	0
"Coriobacteriaceae"	0.662114	0.415777	0.535832	0.613387	0.471917	0.414822	1.111528	1.426025	0.61501	1.125906	0	0.369654	0.768401	2.049721	0.68806	1.961969	0.591505	0	0.697193	1.837698	1.334767	1.106133	0.93387	0.479317	0.491433	1.395983	0.550467	1.472451	0.691816	1.943174	1.131137	0.634019	1.503859	0.643467	1.210758	1.726821	0.76957	1.345759	1.405854	1.524638	0.735609	1.505141	1.248518	0	0	0	0.849751	1.330691	1.733545	0.627675	0	0	1.366294	3.708435	2.215114	1.112075	1.028237	1.109524	1.447882	0.716989	1.005495	0.654253	0.935907	0.557227	0.44573	2.062427	0.527044	1.404566	0.822896	1.118833	1.729346	0	0.596075	1.046552	0.928581	1.383921	0.723268	0.610454	0.31929	0.683245	1.484349	0.973799	1.25654	1.122582	0.681162	0.69908	0.635464	0.55916	1.405679	0.969314	0.617131	0.779408	2.611399	1.578755	0.742639	0.569224	0.731674
"Eggerthellaceae"	0.086298	0.453575	0.17725	0.403134	0.462492	1.124141	0.362329	0.694897	1.631579	0.581571	1.785082	1.414361	1.272283	0.831752	1.004786	2.226843	0.582466	1.617859	1.323543	0.472829	0.798956	0.426757	0.971435	0.240368	0.674272	0.878712	0.423299	1.463681	0.982761	0.67734	1.727781	2.031061	1.358455	1.017645	1.574554	1.205199	2.420939	1.655475	1.00023	1.72711	0.498044	0.585708	1.136741	3.162266	0	3.347931	0.860507	0.693262	0.394226	0.57269	1.349427	2.785076	1.460208	0.991614	1.147999	2.803209	0.949931	1.644762	0.070697	0.61095	1.8863	1.773794	0.482561	3.178415	0.375352	0.525925	1.473437	0.8037	0.531007	0.619393	0.772733	2.09745	1.240582	0.467517	0.215057	0.648771	1.252248	0.674891	1.215721	0.923662	1.076622	1.595885	0.924378	1.955097	0.264141	1.868713	1.232516	1.194999	1.611082	0.304593	0.626367	0.371427	0.278959	0.034321	0.285793	1.630173	0.570754
"QAMH01"	0	0	0	0.6661	0.353433	0	0	0.074634	0	0	0	0	0	0	0	0	0	0	0	0	0.569963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.098906	0	0	0	0	0	0	0	0	0	0	0	0.166363	0	0.19763	0	0	0	0	0	0	0	0.729377	0	0.737621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.816981	0	0	0	0	0	0	0	0.983714	0	0	0	0	0	0
"Bacteroidaceae"	30.040619	23.503248	23.473404	14.415785	13.73407	12.480556	20.54306	12.377723	22.601364	16.480789	12.856637	20.509424	17.528784	18.823156	17.054548	15.454169	10.078754	15.781275	25.697193	24.773335	12.924393	17.677692	17.669155	12.132535	15.327191	16.045147	26.034681	21.852892	12.700189	15.856791	14.755636	26.222786	17.835827	16.366383	20.178488	22.192074	19.53318	16.424101	14.584774	15.051228	11.901888	15.674949	13.957253	8.836414	7.554291	17.75898	19.655136	19.771456	18.506565	17.684031	25.322418	15.225495	16.806023	24.604429	16.617952	18.886684	17.667402	18.02	17.561224	17.898626	15.47027	21.07852	15.506437	18.914946	16.875195	13.67994	15.287287	13.462616	15.443728	17.225235	20.844095	19.945564	13.75723	15.155696	24.238131	9.436761	15.71382	12.407478	19.162027	21.250826	19.496637	22.109821	15.830252	14.693174	16.386105	16.223705	17.468164	17.630335	16.816406	14.543068	8.851698	21.863503	16.158724	21.390421	5.496934	18.229435	19.117075
"Barnesiellaceae"	0.038685	0	0.500848	0	0.745239	0.528499	0.814158	0.034781	0	0	0	1.294581	0	1.215333	0	0	0	0	0.271006	0	0.112537	0.804461	0	1.411716	0.870488	0	0	1.883685	0.254083	0	0	0	0	0.052816	1.305767	0.975938	0	0	1.443497	0	1.293235	0.651913	0.663212	0	0	0	0	1.433051	0	0.190333	1.002858	0	0.820231	0	0.88145	0	0	0.945714	0	1.112597	0	0	1.178699	0	0	0	0.434992	0	0.845159	0	0	0	0	1.063708	0	0	1.127782	0.057654	0	0.816259	0	0	0	0	0	0	0.824183	0	0.19286	0.443427	0.057152	0	0	0	0.656056	0.892587	1.146264
"Coprobacteraceae"	0.132423	0.52038	0.265875	0	0	0.132291	0	0.518093	0	0	0	0	0	0.061953	0	0.690226	0.036722	0	0	0	0.080064	0	0.781356	0	0	0	0	0.166637	0	0	0	0	0	0.485762	0	0	0	0	0.535454	0.881444	0.301729	0.577601	0	0	0	0	0	0.130277	0	0	0	0	0.15829	0.025296	0.823545	0.929681	0	0.301905	0	0	0	0	0.308275	0.299125	0.690278	0	0.645569	0	0	0.106867	0	0.86014	0.034461	0	0.782709	0	0.712643	0	0	0	0	0	0	0.257763	0.753355	0.714376	0.708112	1.151059	0	0	0	0	0	2.878655	0	0	0.646854
